 net3            i(V_i_in)       net3            i(VI_out)       net3            v(Vin)         
 2.76936971e-01  1.13484825e-05  2.76936971e-01  1.10134124e-11  2.76936971e-01  2.93980315e-01 
 2.76930791e-01  1.13484851e-05  2.76930791e-01  2.90641090e-07  2.76930791e-01  2.93966120e-01 
 2.76929049e-01  1.13484867e-05  2.76929049e-01  3.81843975e-07  2.76929049e-01  2.93956542e-01 
 2.76925120e-01  1.13484888e-05  2.76925120e-01  5.84743425e-07  2.76925120e-01  2.93944919e-01 
 2.76925528e-01  1.13484902e-05  2.76925528e-01  5.63861370e-07  2.76925528e-01  2.93937484e-01 
 2.76920525e-01  1.13484925e-05  2.76920525e-01  8.18232856e-07  2.76920525e-01  2.93925106e-01 
 2.76919846e-01  1.13484940e-05  2.76919846e-01  8.52439754e-07  2.76919846e-01  2.93916835e-01 
 2.76917010e-01  1.13484958e-05  2.76917010e-01  9.94557773e-07  2.76917010e-01  2.93906670e-01 
 2.76918458e-01  1.13484970e-05  2.76918458e-01  9.22147180e-07  2.76918458e-01  2.93900288e-01 
 2.76912932e-01  1.13484992e-05  2.76912932e-01  1.19691571e-06  2.76912932e-01  2.93888001e-01 
 2.76911696e-01  1.13485007e-05  2.76911696e-01  1.25785416e-06  2.76911696e-01  2.93879473e-01 
 2.76908329e-01  1.13485026e-05  2.76908329e-01  1.42282250e-06  2.76908329e-01  2.93869256e-01 
 2.76909186e-01  1.13485038e-05  2.76909186e-01  1.38096537e-06  2.76909186e-01  2.93862451e-01 
 2.76904757e-01  1.13485057e-05  2.76904757e-01  1.59642167e-06  2.76904757e-01  2.93851594e-01 
 2.76904549e-01  1.13485071e-05  2.76904549e-01  1.60645872e-06  2.76904549e-01  2.93844088e-01 
 2.76902228e-01  1.13485088e-05  2.76902228e-01  1.71845797e-06  2.76902228e-01  2.93835022e-01 
 2.76904099e-01  1.13485098e-05  2.76904099e-01  1.62823244e-06  2.76904099e-01  2.93828749e-01 
 2.76898338e-01  1.13485119e-05  2.76898338e-01  1.90477417e-06  2.76898338e-01  2.93817391e-01 
 2.76896798e-01  1.13485134e-05  2.76896798e-01  1.97808389e-06  2.76896798e-01  2.93809117e-01 
 2.76893166e-01  1.13485151e-05  2.76893166e-01  2.15000109e-06  2.76893166e-01  2.93799493e-01 
 2.76893679e-01  1.13485164e-05  2.76893679e-01  2.12584373e-06  2.76893679e-01  2.93792636e-01 
 2.76889009e-01  1.13485182e-05  2.76889009e-01  2.34512394e-06  2.76889009e-01  2.93782545e-01 
 2.76888479e-01  1.13485195e-05  2.76888479e-01  2.36989134e-06  2.76888479e-01  2.93775168e-01 
 2.76885878e-01  1.13485212e-05  2.76885878e-01  2.49095805e-06  2.76885878e-01  2.93766557e-01 
 2.76887391e-01  1.13485222e-05  2.76887391e-01  2.42060185e-06  2.76887391e-01  2.93760403e-01 
 2.76882200e-01  1.13485240e-05  2.76882200e-01  2.66102015e-06  2.76882200e-01  2.93750449e-01 
 2.76881130e-01  1.13485255e-05  2.76881130e-01  2.71023235e-06  2.76881130e-01  2.93742937e-01 
 2.76878004e-01  1.13485269e-05  2.76878004e-01  2.85332239e-06  2.76878004e-01  2.93734351e-01 
 2.76878954e-01  1.13485281e-05  2.76878954e-01  2.80997240e-06  2.76878954e-01  2.93727933e-01 
 2.76874796e-01  1.13485297e-05  2.76874796e-01  2.99924157e-06  2.76874796e-01  2.93718978e-01 
 2.76874716e-01  1.13485309e-05  2.76874716e-01  3.00285667e-06  2.76874716e-01  2.93712146e-01 
 2.76872591e-01  1.13485324e-05  2.76872591e-01  3.09897233e-06  2.76872591e-01  2.93704345e-01 
 2.76874541e-01  1.13485329e-05  2.76874541e-01  3.01081909e-06  2.76874541e-01  2.93701409e-01 
 2.76868694e-01  1.13485346e-05  2.76868694e-01  3.27398837e-06  2.76868694e-01  2.93692070e-01 
 2.76866940e-01  1.13485359e-05  2.76866940e-01  3.35232311e-06  2.76866940e-01  2.93684644e-01 
 2.76863158e-01  1.13485374e-05  2.76863158e-01  3.52016758e-06  2.76863158e-01  2.93676432e-01 
 2.76863388e-01  1.13485386e-05  2.76863388e-01  3.51002296e-06  2.76863388e-01  2.93669876e-01 
 2.76858602e-01  1.13485401e-05  2.76858602e-01  3.72054405e-06  2.76858602e-01  2.93661462e-01 
 2.76857823e-01  1.13485414e-05  2.76857823e-01  3.75462287e-06  2.76857823e-01  2.93654667e-01 
 2.76855039e-01  1.13485428e-05  2.76855039e-01  3.87589146e-06  2.76855039e-01  2.93647180e-01 
 2.76856230e-01  1.13485439e-05  2.76856230e-01  3.82409202e-06  2.76856230e-01  2.93641095e-01 
 2.76850942e-01  1.13485453e-05  2.76850942e-01  4.05298081e-06  2.76850942e-01  2.93632926e-01 
 2.76849637e-01  1.13485465e-05  2.76849637e-01  4.10905716e-06  2.76849637e-01  2.93626145e-01 
 2.76846346e-01  1.13485478e-05  2.76846346e-01  4.24973960e-06  2.76846346e-01  2.93618807e-01 
 2.76846986e-01  1.13485490e-05  2.76846986e-01  4.22249412e-06  2.76846986e-01  2.93612630e-01 
 2.76842698e-01  1.13485502e-05  2.76842698e-01  4.40447239e-06  2.76842698e-01  2.93605172e-01 
 2.76842344e-01  1.13485514e-05  2.76842344e-01  4.41943456e-06  2.76842344e-01  2.93598842e-01 
 2.76840015e-01  1.13485527e-05  2.76840015e-01  4.51747685e-06  2.76840015e-01  2.93592041e-01 
 2.76841596e-01  1.13485538e-05  2.76841596e-01  4.45096564e-06  2.76841596e-01  2.93585907e-01 
 2.76836052e-01  1.13485551e-05  2.76836052e-01  4.68310197e-06  2.76836052e-01  2.93578532e-01 
 2.76834446e-01  1.13485563e-05  2.76834446e-01  4.74981248e-06  2.76834446e-01  2.93572089e-01 
 2.76830880e-01  1.13485575e-05  2.76830880e-01  4.89700990e-06  2.76830880e-01  2.93565320e-01 
 2.76831187e-01  1.13485586e-05  2.76831187e-01  4.88438778e-06  2.76831187e-01  2.93559275e-01 
 2.76826643e-01  1.13485598e-05  2.76826643e-01  5.07031954e-06  2.76826643e-01  2.93552506e-01 
 2.76825972e-01  1.13485609e-05  2.76825972e-01  5.09762955e-06  2.76825972e-01  2.93546432e-01 
 2.76823357e-01  1.13485621e-05  2.76823357e-01  5.20355137e-06  2.76823357e-01  2.93540112e-01 
 2.76824595e-01  1.13485631e-05  2.76824595e-01  5.15346224e-06  2.76824595e-01  2.93534302e-01 
 2.76819546e-01  1.13485643e-05  2.76819546e-01  5.35674738e-06  2.76819546e-01  2.93527832e-01 
 2.76818360e-01  1.13485654e-05  2.76818360e-01  5.40416241e-06  2.76818360e-01  2.93521862e-01 
 2.76815241e-01  1.13485665e-05  2.76815241e-01  5.52814461e-06  2.76815241e-01  2.93515759e-01 
 2.76815944e-01  1.13485675e-05  2.76815944e-01  5.50027541e-06  2.76815944e-01  2.93509962e-01 
 2.76811850e-01  1.13485686e-05  2.76811850e-01  5.66190049e-06  2.76811850e-01  2.93503934e-01 
