 net3            i(V_i_in)       net3            i(VI_out)       net3            v(Vin)         
 2.74701099e-01  1.02757198e-05  2.74701099e-01  2.94937443e-07  2.74701099e-01  2.90066308e-01 
 2.74698443e-01  1.02757200e-05  2.74698443e-01  4.36961159e-07  2.74698443e-01  2.90061820e-01 
 2.74696833e-01  1.02757202e-05  2.74696833e-01  5.22131941e-07  2.74696833e-01  2.90058472e-01 
 2.74694723e-01  1.02757204e-05  2.74694723e-01  6.32762529e-07  2.74694723e-01  2.90054705e-01 
 2.74693576e-01  1.02757204e-05  2.74693576e-01  6.92533064e-07  2.74693576e-01  2.90051820e-01 
 2.74691245e-01  1.02757207e-05  2.74691245e-01  8.13205112e-07  2.74691245e-01  2.90048006e-01 
 2.74689861e-01  1.02757208e-05  2.74689861e-01  8.84379730e-07  2.74689861e-01  2.90045140e-01 
 2.74688007e-01  1.02757210e-05  2.74688007e-01  9.79181131e-07  2.74688007e-01  2.90041912e-01 
 2.74687052e-01  1.02757210e-05  2.74687052e-01  1.02782981e-06  2.74687052e-01  2.90039556e-01 
 2.74684645e-01  1.02757212e-05  2.74684645e-01  1.14978980e-06  2.74684645e-01  2.90035992e-01 
 2.74683122e-01  1.02757213e-05  2.74683122e-01  1.22649443e-06  2.74683122e-01  2.90033252e-01 
 2.74681170e-01  1.02757214e-05  2.74681170e-01  1.32437650e-06  2.74681170e-01  2.90030221e-01 
 2.74680034e-01  1.02757215e-05  2.74680034e-01  1.38108278e-06  2.74680034e-01  2.90027803e-01 
 2.74677883e-01  1.02757217e-05  2.74677883e-01  1.48795514e-06  2.74677883e-01  2.90024757e-01 
 2.74676535e-01  1.02757218e-05  2.74676535e-01  1.55468609e-06  2.74676535e-01  2.90022395e-01 
 2.74674782e-01  1.02757219e-05  2.74674782e-01  1.64106770e-06  2.74674782e-01  2.90019785e-01 
 2.74673771e-01  1.02757220e-05  2.74673771e-01  1.69066662e-06  2.74673771e-01  2.90018254e-01 
 2.74671402e-01  1.02757222e-05  2.74671402e-01  1.80653603e-06  2.74671402e-01  2.90015334e-01 
 2.74669783e-01  1.02757222e-05  2.74669783e-01  1.88526848e-06  2.74669783e-01  2.90013012e-01 
 2.74667805e-01  1.02757223e-05  2.74667805e-01  1.98108850e-06  2.74667805e-01  2.90010507e-01 
 2.74666505e-01  1.02757224e-05  2.74666505e-01  2.04377533e-06  2.74666505e-01  2.90008408e-01 
 2.74664369e-01  1.02757225e-05  2.74664369e-01  2.14643260e-06  2.74664369e-01  2.90005938e-01 
 2.74662896e-01  1.02757226e-05  2.74662896e-01  2.21687031e-06  2.74662896e-01  2.90003950e-01 
 2.74661092e-01  1.02757228e-05  2.74661092e-01  2.30288051e-06  2.74661092e-01  2.90001816e-01 
 2.74659902e-01  1.02757229e-05  2.74659902e-01  2.35936728e-06  2.74659902e-01  2.90000123e-01 
 2.74657712e-01  1.02757229e-05  2.74657712e-01  2.46293905e-06  2.74657712e-01  2.89997891e-01 
 2.74656125e-01  1.02757230e-05  2.74656125e-01  2.53766226e-06  2.74656125e-01  2.89996064e-01 
 2.74654243e-01  1.02757231e-05  2.74654243e-01  2.62589663e-06  2.74654243e-01  2.89994135e-01 
 2.74652901e-01  1.02757232e-05  2.74652901e-01  2.68858955e-06  2.74652901e-01  2.89992445e-01 
 2.74650885e-01  1.02757233e-05  2.74650885e-01  2.78239814e-06  2.74650885e-01  2.89990571e-01 
 2.74649392e-01  1.02757234e-05  2.74649392e-01  2.85159418e-06  2.74649392e-01  2.89989017e-01 
 2.74647630e-01  1.02757235e-05  2.74647630e-01  2.93295795e-06  2.74647630e-01  2.89987387e-01 
 2.74646386e-01  1.02757234e-05  2.74646386e-01  2.99015176e-06  2.74646386e-01  2.89987471e-01 
 2.74644185e-01  1.02757235e-05  2.74644185e-01  3.09099267e-06  2.74644185e-01  2.89985764e-01 
 2.74642458e-01  1.02757235e-05  2.74642458e-01  3.16977645e-06  2.74642458e-01  2.89984326e-01 
 2.74640511e-01  1.02757236e-05  2.74640511e-01  3.25822700e-06  2.74640511e-01  2.89982856e-01 
 2.74638962e-01  1.02757237e-05  2.74638962e-01  3.32826581e-06  2.74638962e-01  2.89981502e-01 
 2.74636928e-01  1.02757237e-05  2.74636928e-01  3.41988657e-06  2.74636928e-01  2.89980121e-01 
 2.74635278e-01  1.02757238e-05  2.74635278e-01  3.49387022e-06  2.74635278e-01  2.89978945e-01 
 2.74633437e-01  1.02757239e-05  2.74633437e-01  3.57611404e-06  2.74633437e-01  2.89977754e-01 
 2.74631926e-01  1.02757239e-05  2.74631926e-01  3.64334718e-06  2.74631926e-01  2.89976755e-01 
 2.74629880e-01  1.02757240e-05  2.74629880e-01  3.73399483e-06  2.74629880e-01  2.89975614e-01 
 2.74628151e-01  1.02757241e-05  2.74628151e-01  3.81026685e-06  2.74628151e-01  2.89974634e-01 
 2.74626271e-01  1.02757241e-05  2.74626271e-01  3.89282593e-06  2.74626271e-01  2.89973663e-01 
 2.74624640e-01  1.02757241e-05  2.74624640e-01  3.96414066e-06  2.74624640e-01  2.89972720e-01 
 2.74622701e-01  1.02757242e-05  2.74622701e-01  4.04861003e-06  2.74622701e-01  2.89971850e-01 
 2.74620992e-01  1.02757242e-05  2.74620992e-01  4.12268660e-06  2.74620992e-01  2.89971096e-01 
 2.74619161e-01  1.02757242e-05  2.74619161e-01  4.20175006e-06  2.74619161e-01  2.89970365e-01 
 2.74617483e-01  1.02757242e-05  2.74617483e-01  4.27387770e-06  2.74617483e-01  2.89970216e-01 
 2.74615501e-01  1.02757243e-05  2.74615501e-01  4.35872253e-06  2.74615501e-01  2.89969567e-01 
 2.74613688e-01  1.02757242e-05  2.74613688e-01  4.43598223e-06  2.74613688e-01  2.89969010e-01 
 2.74611802e-01  1.02757243e-05  2.74611802e-01  4.51599715e-06  2.74611802e-01  2.89968494e-01 
 2.74610012e-01  1.02757243e-05  2.74610012e-01  4.59156970e-06  2.74610012e-01  2.89967953e-01 
 2.74608109e-01  1.02757243e-05  2.74608109e-01  4.67156847e-06  2.74608109e-01  2.89967547e-01 
