 time            v(Ain)          v(COMPout)     
 5.90050000e-06  5.15625000e-01  1.76914648e-02 
 5.90150000e-06  5.15625000e-01  1.76912381e-02 
 5.90250000e-06  5.15625000e-01  1.76910272e-02 
 5.90350000e-06  5.15625000e-01  1.76908007e-02 
 5.90450000e-06  5.15625000e-01  1.76905900e-02 
 5.90550000e-06  5.15625000e-01  1.76903635e-02 
 5.90650000e-06  5.15625000e-01  1.76901530e-02 
 5.90750000e-06  5.15625000e-01  1.76899266e-02 
 5.90850000e-06  5.15625000e-01  1.76897163e-02 
 5.90950000e-06  5.15625000e-01  1.76894900e-02 
 5.91050000e-06  5.15625000e-01  1.76892799e-02 
 5.91150000e-06  5.15625000e-01  1.76890537e-02 
 5.91250000e-06  5.15625000e-01  1.76888437e-02 
 5.91350000e-06  5.15625000e-01  1.76886177e-02 
 5.91450000e-06  5.15625000e-01  1.76884079e-02 
 5.91550000e-06  5.15625000e-01  1.76881820e-02 
 5.91650000e-06  5.15625000e-01  1.76879723e-02 
 5.91750000e-06  5.15625000e-01  1.76877465e-02 
 5.91850000e-06  5.15625000e-01  1.76875371e-02 
 5.91950000e-06  5.15625000e-01  1.76873114e-02 
 5.92050000e-06  5.15625000e-01  1.76871021e-02 
 5.92150000e-06  5.15625000e-01  1.76868765e-02 
 5.92250000e-06  5.15625000e-01  1.76866674e-02 
 5.92350000e-06  5.15625000e-01  1.76864419e-02 
 5.92450000e-06  5.15625000e-01  1.76862329e-02 
 5.92550000e-06  5.15625000e-01  1.76860075e-02 
 5.92650000e-06  5.15625000e-01  1.76857988e-02 
 5.92750000e-06  5.15625000e-01  1.76855735e-02 
 5.92850000e-06  5.15625000e-01  1.76853649e-02 
 5.92950000e-06  5.15625000e-01  1.76851398e-02 
 5.93050000e-06  5.15625000e-01  1.76849313e-02 
 5.93150000e-06  5.15625000e-01  1.76847063e-02 
 5.93250000e-06  5.15625000e-01  1.76844980e-02 
 5.93350000e-06  5.15625000e-01  1.76842731e-02 
 5.93450000e-06  5.15625000e-01  1.76840650e-02 
 5.93550000e-06  5.15625000e-01  1.76838402e-02 
 5.93650000e-06  5.15625000e-01  1.76836323e-02 
 5.93750000e-06  5.15625000e-01  1.76834076e-02 
 5.93850000e-06  5.15625000e-01  1.76831998e-02 
 5.93950000e-06  5.15625000e-01  1.76829752e-02 
 5.94050000e-06  5.15625000e-01  1.76827676e-02 
 5.94150000e-06  5.15625000e-01  1.76825432e-02 
 5.94250000e-06  5.15625000e-01  1.76823357e-02 
 5.94350000e-06  5.15625000e-01  1.76821114e-02 
 5.94450000e-06  5.15625000e-01  1.76819041e-02 
 5.94550000e-06  5.15625000e-01  1.76816799e-02 
 5.94650000e-06  5.15625000e-01  1.76814728e-02 
 5.94750000e-06  5.15625000e-01  1.76812486e-02 
 5.94850000e-06  5.15625000e-01  1.76810417e-02 
 5.94950000e-06  5.15625000e-01  1.76808177e-02 
 5.95050000e-06  5.15625000e-01  1.76806109e-02 
 5.95150000e-06  5.15625000e-01  1.76803870e-02 
 5.95250000e-06  5.15625000e-01  1.76801804e-02 
 5.95350000e-06  5.15625000e-01  1.76799566e-02 
 5.95450000e-06  5.15625000e-01  1.76797502e-02 
 5.95550000e-06  5.15625000e-01  1.76795265e-02 
 5.95650000e-06  5.15625000e-01  1.76793202e-02 
 5.95750000e-06  5.15625000e-01  1.76790967e-02 
 5.95850000e-06  5.15625000e-01  1.76788906e-02 
 5.95950000e-06  5.15625000e-01  1.76786671e-02 
 5.96050000e-06  5.15625000e-01  1.76784612e-02 
 5.96150000e-06  5.15625000e-01  1.76782378e-02 
 5.96250000e-06  5.15625000e-01  1.76780320e-02 
 5.96350000e-06  5.15625000e-01  1.76778088e-02 
 5.96450000e-06  5.15625000e-01  1.76776032e-02 
 5.96550000e-06  5.15625000e-01  1.76773801e-02 
 5.96650000e-06  5.15625000e-01  1.76771746e-02 
 5.96750000e-06  5.15625000e-01  1.76769516e-02 
 5.96850000e-06  5.15625000e-01  1.76767463e-02 
 5.96950000e-06  5.15625000e-01  1.76765235e-02 
 5.97050000e-06  5.15625000e-01  1.76763183e-02 
 5.97150000e-06  5.15625000e-01  1.76760956e-02 
 5.97250000e-06  5.15625000e-01  1.76758906e-02 
 5.97350000e-06  5.15625000e-01  1.76756679e-02 
 5.97450000e-06  5.15625000e-01  1.76754631e-02 
 5.97550000e-06  5.15625000e-01  1.76752406e-02 
 5.97650000e-06  5.15625000e-01  1.76750359e-02 
 5.97750000e-06  5.15625000e-01  1.76748135e-02 
 5.97850000e-06  5.15625000e-01  1.76746090e-02 
 5.97950000e-06  5.15625000e-01  1.76743867e-02 
 5.98050000e-06  5.15625000e-01  1.76741823e-02 
 5.98150000e-06  5.15625000e-01  1.76739602e-02 
 5.98250000e-06  5.15625000e-01  1.76737559e-02 
 5.98350000e-06  5.15625000e-01  1.76735339e-02 
 5.98450000e-06  5.15625000e-01  1.76733298e-02 
 5.98550000e-06  5.15625000e-01  1.76731079e-02 
 5.98650000e-06  5.15625000e-01  1.76729040e-02 
 5.98750000e-06  5.15625000e-01  1.76726822e-02 
 5.98850000e-06  5.15625000e-01  1.76724785e-02 
 5.98950000e-06  5.15625000e-01  1.76722568e-02 
 5.99050000e-06  5.15625000e-01  1.76720532e-02 
 5.99150000e-06  5.15625000e-01  1.76718316e-02 
 5.99250000e-06  5.15625000e-01  1.76716281e-02 
 5.99350000e-06  5.15625000e-01  1.76714067e-02 
 5.99450000e-06  5.15625000e-01  1.76712034e-02 
 5.99550000e-06  5.15625000e-01  1.76709821e-02 
 5.99650000e-06  5.15625000e-01  1.76707789e-02 
 5.99750000e-06  5.15625000e-01  1.76705577e-02 
 5.99850000e-06  5.15625000e-01  1.76703547e-02 
 5.99950000e-06  5.15625000e-01  1.76701336e-02 
 6.00050000e-06  5.15625000e-01  1.76699308e-02 
 6.00150000e-06  5.15625000e-01  1.76697098e-02 
 6.00250000e-06  5.15625000e-01  1.76695071e-02 
 6.00350000e-06  5.15625000e-01  1.76692863e-02 
 6.00450000e-06  5.15625000e-01  1.76690837e-02 
 6.00550000e-06  5.15625000e-01  1.76688630e-02 
 6.00650000e-06  5.15625000e-01  1.76686606e-02 
 6.00750000e-06  5.15625000e-01  1.76684400e-02 
 6.00850000e-06  5.15625000e-01  1.76682377e-02 
 6.00950000e-06  5.15625000e-01  1.76680172e-02 
 6.01050000e-06  5.15625000e-01  1.76678152e-02 
 6.01150000e-06  5.15625000e-01  1.76675948e-02 
 6.01250000e-06  5.15625000e-01  1.76673928e-02 
 6.01350000e-06  5.15625000e-01  1.76671726e-02 
 6.01450000e-06  5.15625000e-01  1.76669708e-02 
 6.01550000e-06  5.15625000e-01  1.76667506e-02 
 6.01650000e-06  5.15625000e-01  1.76665490e-02 
 6.01750000e-06  5.15625000e-01  1.76663290e-02 
 6.01850000e-06  5.15625000e-01  1.76661275e-02 
 6.01950000e-06  5.15625000e-01  1.76659076e-02 
 6.02050000e-06  5.15625000e-01  1.76657062e-02 
 6.02150000e-06  5.15625000e-01  1.76654864e-02 
 6.02250000e-06  5.15625000e-01  1.76652852e-02 
 6.02350000e-06  5.15625000e-01  1.76650656e-02 
 6.02450000e-06  5.15625000e-01  1.76648645e-02 
 6.02550000e-06  5.15625000e-01  1.76646450e-02 
 6.02650000e-06  5.15625000e-01  1.76644441e-02 
 6.02750000e-06  5.15625000e-01  1.76642247e-02 
 6.02850000e-06  5.15625000e-01  1.76640239e-02 
 6.02950000e-06  5.15625000e-01  1.76638046e-02 
 6.03050000e-06  5.15625000e-01  1.76636040e-02 
 6.03150000e-06  5.15625000e-01  1.76633848e-02 
 6.03250000e-06  5.15625000e-01  1.76631843e-02 
 6.03350000e-06  5.15625000e-01  1.76629653e-02 
 6.03450000e-06  5.15625000e-01  1.76627649e-02 
 6.03550000e-06  5.15625000e-01  1.76625460e-02 
 6.03650000e-06  5.15625000e-01  1.76623458e-02 
 6.03750000e-06  5.15625000e-01  1.76621270e-02 
