 time            v(D_latch)      v(Aout)         v(SH_neg)       v(sh_pos)      
 0.00000000e+00  0.00000000e+00  8.99964581e-01  6.05576795e-01  6.72520305e-01 
 2.00000000e-10  0.00000000e+00  8.99964581e-01  6.05576795e-01  6.72520305e-01 
 4.00000000e-10  0.00000000e+00  8.99964581e-01  6.05576795e-01  6.72520305e-01 
 8.00000000e-10  0.00000000e+00  8.99964581e-01  6.05576795e-01  6.72520305e-01 
 1.60000000e-09  0.00000000e+00  8.99964581e-01  6.05576795e-01  6.72520305e-01 
 3.20000000e-09  0.00000000e+00  8.99964580e-01  6.05576795e-01  6.72520305e-01 
 6.40000000e-09  0.00000000e+00  8.99964579e-01  6.05576795e-01  6.72520305e-01 
 1.28000000e-08  0.00000000e+00  8.99964575e-01  6.05576795e-01  6.72520305e-01 
 2.56000000e-08  0.00000000e+00  8.99964567e-01  6.05576795e-01  6.72520305e-01 
 4.56000000e-08  0.00000000e+00  8.99964556e-01  6.05576795e-01  6.72520305e-01 
 6.56000000e-08  0.00000000e+00  8.99964551e-01  6.05576795e-01  6.72520305e-01 
 8.56000000e-08  0.00000000e+00  8.99964545e-01  6.05576795e-01  6.72520305e-01 
 1.00000000e-07  0.00000000e+00  8.99964540e-01  6.05576795e-01  6.72520305e-01 
 1.02000000e-07  0.00000000e+00  8.99964539e-01  6.05580362e-01  6.72516468e-01 
 1.06000000e-07  0.00000000e+00  8.99964537e-01  6.05581677e-01  6.72514541e-01 
 1.14000000e-07  0.00000000e+00  8.99964536e-01  6.05581308e-01  6.72514698e-01 
 1.30000000e-07  0.00000000e+00  8.99964538e-01  6.05503865e-01  6.72604979e-01 
 1.50000000e-07  0.00000000e+00  8.99964320e-01  5.12208913e-01  8.34193479e-01 
 1.70000000e-07  0.00000000e+00  8.99963654e-01  4.90778345e-01  9.96114259e-01 
 1.89030500e-07  0.00000000e+00  8.99944116e-01  5.07121203e-01  9.98768481e-01 
 2.00000000e-07  0.00000000e+00  8.99956930e-01  4.95736745e-01  9.99339180e-01 
 2.02000000e-07  0.00000000e+00  8.99954695e-01  4.98300233e-01  9.99401733e-01 
 2.06000000e-07  0.00000000e+00  8.99952433e-01  5.00344578e-01  9.99519266e-01 
 2.14000000e-07  0.00000000e+00  8.99952660e-01  4.99826036e-01  9.99691287e-01 
 2.30000000e-07  0.00000000e+00  8.99952362e-01  5.00126456e-01  9.99878605e-01 
 2.50000000e-07  0.00000000e+00  8.99952511e-01  4.99904587e-01  9.99964183e-01 
 2.70000000e-07  0.00000000e+00  8.99952337e-01  5.00074887e-01  9.99989388e-01 
 2.90000000e-07  0.00000000e+00  8.99952474e-01  4.99944042e-01  9.99996865e-01 
 3.10000000e-07  0.00000000e+00  8.99952357e-01  5.00044448e-01  9.99999032e-01 
 3.30000000e-07  0.00000000e+00  8.99952459e-01  4.99967441e-01  9.99999711e-01 
 3.50000000e-07  0.00000000e+00  8.99952368e-01  5.00026583e-01  9.99999872e-01 
 3.70000000e-07  0.00000000e+00  8.99952452e-01  4.99981199e-01  9.99999959e-01 
 3.90000000e-07  0.00000000e+00  8.99952382e-01  5.00016051e-01  9.99999945e-01 
 4.10000000e-07  0.00000000e+00  8.99952442e-01  4.99989301e-01  9.99999981e-01 
 4.30000000e-07  0.00000000e+00  8.99952384e-01  5.00009839e-01  9.99999951e-01 
 4.50000000e-07  0.00000000e+00  8.99952427e-01  4.99994079e-01  9.99999983e-01 
 4.70000000e-07  0.00000000e+00  8.99952384e-01  5.00006171e-01  9.99999951e-01 
 4.90000000e-07  0.00000000e+00  8.99952422e-01  4.99996899e-01  9.99999983e-01 
 5.10000000e-07  0.00000000e+00  8.99952385e-01  5.00004003e-01  9.99999951e-01 
 5.30000000e-07  0.00000000e+00  8.99952412e-01  4.99998567e-01  9.99999983e-01 
 5.50000000e-07  0.00000000e+00  8.99952375e-01  5.00002720e-01  9.99999951e-01 
 5.70000000e-07  0.00000000e+00  8.99952395e-01  4.99999555e-01  9.99999984e-01 
 5.90000000e-07  0.00000000e+00  8.99952361e-01  5.00001960e-01  9.99999950e-01 
 6.10000000e-07  0.00000000e+00  8.99952379e-01  5.00000141e-01  9.99999984e-01 
 6.30000000e-07  0.00000000e+00  8.99952351e-01  5.00001508e-01  9.99999950e-01 
 6.50000000e-07  0.00000000e+00  8.99952366e-01  5.00000490e-01  9.99999984e-01 
 6.70000000e-07  0.00000000e+00  8.99952342e-01  5.00001239e-01  9.99999950e-01 
 6.90000000e-07  0.00000000e+00  8.99952358e-01  5.00000697e-01  9.99999984e-01 
 7.10000000e-07  0.00000000e+00  8.99952336e-01  5.00001079e-01  9.99999950e-01 
 7.30000000e-07  0.00000000e+00  8.99952350e-01  5.00000821e-01  9.99999984e-01 
 7.50000000e-07  0.00000000e+00  8.99952325e-01  5.00000983e-01  9.99999950e-01 
 7.70000000e-07  0.00000000e+00  8.99952338e-01  5.00000895e-01  9.99999985e-01 
 7.90000000e-07  0.00000000e+00  8.99952318e-01  5.00000925e-01  9.99999950e-01 
 8.10000000e-07  0.00000000e+00  8.99952333e-01  5.00000940e-01  9.99999985e-01 
 8.30000000e-07  0.00000000e+00  8.99952316e-01  5.00000891e-01  9.99999949e-01 
 8.50000000e-07  0.00000000e+00  8.99952329e-01  5.00000966e-01  9.99999985e-01 
 8.70000000e-07  0.00000000e+00  8.99952311e-01  5.00000870e-01  9.99999949e-01 
 8.90000000e-07  0.00000000e+00  8.99952323e-01  5.00000982e-01  9.99999985e-01 
 9.10000000e-07  0.00000000e+00  8.99952306e-01  5.00000858e-01  9.99999949e-01 
 9.30000000e-07  0.00000000e+00  8.99952319e-01  5.00000992e-01  9.99999985e-01 
 9.50000000e-07  0.00000000e+00  8.99952304e-01  5.00000851e-01  9.99999949e-01 
 9.70000000e-07  0.00000000e+00  8.99952318e-01  5.00000997e-01  9.99999985e-01 
 9.90000000e-07  0.00000000e+00  8.99952306e-01  5.00000847e-01  9.99999949e-01 
 1.00000000e-06  0.00000000e+00  8.99952315e-01  5.00001002e-01  9.99999986e-01 
 1.00200000e-06  0.00000000e+00  8.99952130e-01  4.99990042e-01  9.99983310e-01 
 1.00600000e-06  0.00000000e+00  8.99951835e-01  4.99979115e-01  9.99956221e-01 
 1.01400000e-06  0.00000000e+00  8.99951813e-01  4.99971319e-01  9.99925244e-01 
 1.03000000e-06  0.00000000e+00  8.99952130e-01  4.99893795e-01  9.99905384e-01 
 1.05000000e-06  0.00000000e+00  8.99952122e-01  4.99803203e-01  9.99941399e-01 
 1.07000000e-06  0.00000000e+00  8.99952120e-01  4.99839445e-01  1.00004894e+00 
 1.08408385e-06  0.00000000e+00  8.99952096e-01  4.99787832e-01  9.99987682e-01 
 1.09742899e-06  0.00000000e+00  8.99952140e-01  4.99738050e-01  9.99929059e-01 
 1.10000000e-06  0.00000000e+00  8.99952127e-01  4.99728590e-01  9.99918028e-01 
 1.10161503e-06  0.00000000e+00  8.99952181e-01  4.99729470e-01  9.99917910e-01 
 1.10484510e-06  0.00000000e+00  8.99952277e-01  4.99731448e-01  9.99917884e-01 
 1.11039173e-06  0.00000000e+00  8.99952332e-01  4.99734874e-01  9.99917842e-01 
 1.12148501e-06  0.00000000e+00  8.99952306e-01  4.99741826e-01  9.99917769e-01 
 1.14148501e-06  0.00000000e+00  8.99952316e-01  4.99754316e-01  9.99917669e-01 
 1.16148501e-06  0.00000000e+00  8.99952304e-01  4.99766555e-01  9.99917593e-01 
 1.18148501e-06  0.00000000e+00  8.99952315e-01  4.99778540e-01  9.99917535e-01 
 1.20148501e-06  0.00000000e+00  8.99952307e-01  4.99790275e-01  9.99917484e-01 
 1.22148501e-06  0.00000000e+00  8.99952313e-01  4.99801768e-01  9.99917441e-01 
 1.24148501e-06  0.00000000e+00  8.99952309e-01  4.99813020e-01  9.99917399e-01 
 1.26148501e-06  0.00000000e+00  8.99952316e-01  4.99824041e-01  9.99917362e-01 
 1.28148501e-06  0.00000000e+00  8.99952314e-01  4.99834830e-01  9.99917323e-01 
 1.30148501e-06  0.00000000e+00  8.99952316e-01  4.99845399e-01  9.99917288e-01 
 1.32148501e-06  0.00000000e+00  8.99952314e-01  4.99855745e-01  9.99917250e-01 
 1.34148501e-06  0.00000000e+00  8.99952318e-01  4.99865880e-01  9.99917215e-01 
 1.36148501e-06  0.00000000e+00  8.99952317e-01  4.99875801e-01  9.99917178e-01 
 1.38148501e-06  0.00000000e+00  8.99952318e-01  4.99885519e-01  9.99917144e-01 
 1.40148501e-06  0.00000000e+00  8.99952316e-01  4.99895033e-01  9.99917106e-01 
 1.42148501e-06  0.00000000e+00  8.99952316e-01  4.99904352e-01  9.99917072e-01 
 1.44148501e-06  0.00000000e+00  8.99952315e-01  4.99913475e-01  9.99917035e-01 
 1.46148501e-06  0.00000000e+00  8.99952317e-01  4.99922412e-01  9.99917001e-01 
 1.48148501e-06  0.00000000e+00  8.99952318e-01  4.99931161e-01  9.99916964e-01 
 1.50148501e-06  0.00000000e+00  8.99952318e-01  4.99939731e-01  9.99916930e-01 
 1.52148501e-06  0.00000000e+00  8.99952318e-01  4.99948120e-01  9.99916892e-01 
 1.54148501e-06  0.00000000e+00  8.99952321e-01  4.99956339e-01  9.99916859e-01 
 1.56148501e-06  0.00000000e+00  8.99952323e-01  4.99964384e-01  9.99916821e-01 
 1.58148501e-06  0.00000000e+00  8.99952322e-01  4.99972265e-01  9.99916788e-01 
 1.60148501e-06  0.00000000e+00  8.99952321e-01  4.99979980e-01  9.99916750e-01 
 1.62148501e-06  0.00000000e+00  8.99952321e-01  4.99987538e-01  9.99916717e-01 
 1.64148501e-06  0.00000000e+00  8.99952321e-01  4.99994937e-01  9.99916679e-01 
 1.66148501e-06  0.00000000e+00  8.99952321e-01  5.00002185e-01  9.99916646e-01 
 1.68148501e-06  0.00000000e+00  8.99952322e-01  5.00009280e-01  9.99916608e-01 
 1.70148501e-06  0.00000000e+00  8.99952323e-01  5.00016231e-01  9.99916575e-01 
 1.72148501e-06  0.00000000e+00  8.99952324e-01  5.00023036e-01  9.99916537e-01 
 1.74148501e-06  0.00000000e+00  8.99952325e-01  5.00029702e-01  9.99916503e-01 
 1.76148501e-06  0.00000000e+00  8.99952327e-01  5.00036228e-01  9.99916466e-01 
 1.78148501e-06  0.00000000e+00  8.99952331e-01  5.00042622e-01  9.99916432e-01 
 1.80148501e-06  0.00000000e+00  8.99952333e-01  5.00048880e-01  9.99916395e-01 
 1.82148501e-06  0.00000000e+00  8.99952329e-01  5.00055012e-01  9.99916361e-01 
 1.84148501e-06  0.00000000e+00  8.99952326e-01  5.00061014e-01  9.99916324e-01 
 1.86148501e-06  0.00000000e+00  8.99952328e-01  5.00066896e-01  9.99916290e-01 
 1.88148501e-06  0.00000000e+00  8.99952332e-01  5.00072652e-01  9.99916252e-01 
 1.90148501e-06  0.00000000e+00  8.99952334e-01  5.00078294e-01  9.99916219e-01 
 1.92148501e-06  0.00000000e+00  8.99952330e-01  5.00083815e-01  9.99916181e-01 
 1.94148501e-06  0.00000000e+00  8.99952327e-01  5.00089225e-01  9.99916148e-01 
 1.96148501e-06  0.00000000e+00  8.99952329e-01  5.00094521e-01  9.99916110e-01 
 1.98148501e-06  0.00000000e+00  8.99952331e-01  5.00099711e-01  9.99916077e-01 
 2.00148501e-06  0.00000000e+00  8.99952332e-01  5.00104791e-01  9.99916039e-01 
 2.02148501e-06  0.00000000e+00  8.99952328e-01  5.00109769e-01  9.99916005e-01 
 2.04148501e-06  0.00000000e+00  8.99952325e-01  5.00114641e-01  9.99915968e-01 
 2.06148501e-06  0.00000000e+00  8.99952327e-01  5.00119417e-01  9.99915934e-01 
 2.08148501e-06  0.00000000e+00  8.99952328e-01  5.00124090e-01  9.99915897e-01 
 2.10148501e-06  0.00000000e+00  8.99952325e-01  5.00128671e-01  9.99915863e-01 
 2.12148501e-06  0.00000000e+00  8.99952325e-01  5.00133154e-01  9.99915826e-01 
 2.14148501e-06  0.00000000e+00  8.99952327e-01  5.00137549e-01  9.99915792e-01 
 2.16148501e-06  0.00000000e+00  8.99952327e-01  5.00141850e-01  9.99915755e-01 
 2.18148501e-06  0.00000000e+00  8.99952327e-01  5.00146066e-01  9.99915721e-01 
 2.20148501e-06  0.00000000e+00  8.99952324e-01  5.00150191e-01  9.99915684e-01 
 2.22148501e-06  0.00000000e+00  8.99952324e-01  5.00154236e-01  9.99915650e-01 
 2.24148501e-06  0.00000000e+00  8.99952327e-01  5.00158194e-01  9.99915612e-01 
 2.26148501e-06  0.00000000e+00  8.99952327e-01  5.00162075e-01  9.99915579e-01 
 2.28148501e-06  0.00000000e+00  8.99952327e-01  5.00165873e-01  9.99915541e-01 
 2.30148501e-06  0.00000000e+00  8.99952324e-01  5.00169596e-01  9.99915507e-01 
 2.32148501e-06  0.00000000e+00  8.99952324e-01  5.00173240e-01  9.99915470e-01 
 2.34148501e-06  0.00000000e+00  8.99952325e-01  5.00176813e-01  9.99915436e-01 
 2.36148501e-06  0.00000000e+00  8.99952323e-01  5.00180309e-01  9.99915398e-01 
 2.38148501e-06  0.00000000e+00  8.99952323e-01  5.00183737e-01  9.99915364e-01 
 2.40148501e-06  0.00000000e+00  8.99952323e-01  5.00187092e-01  9.99915327e-01 
 2.42148501e-06  0.00000000e+00  8.99952320e-01  5.00190382e-01  9.99915293e-01 
 2.44148501e-06  0.00000000e+00  8.99952320e-01  5.00193601e-01  9.99915255e-01 
