 time            v(D_latch)      v(D_latch_bar)  v(Aout)         v(sh_pos)       v(sh_neg)      
 0.00000000e+00  8.28185515e-01  8.28185511e-01  7.22927451e-01  6.72520477e-01  6.05576887e-01 
 2.00000000e-10  8.28185515e-01  8.28185511e-01  7.22927454e-01  6.72520477e-01  6.05576887e-01 
 4.00000000e-10  8.28185515e-01  8.28185512e-01  7.22927457e-01  6.72520477e-01  6.05576887e-01 
 8.00000000e-10  8.28185515e-01  8.28185512e-01  7.22927462e-01  6.72520477e-01  6.05576887e-01 
 1.60000000e-09  8.28185513e-01  8.28185514e-01  7.22927470e-01  6.72520477e-01  6.05576887e-01 
 3.20000000e-09  8.28185523e-01  8.28185503e-01  7.22927478e-01  6.72520477e-01  6.05576887e-01 
 6.40000000e-09  8.28185501e-01  8.28185526e-01  7.22927478e-01  6.72520477e-01  6.05576887e-01 
 1.28000000e-08  8.28185534e-01  8.28185492e-01  7.22927474e-01  6.72520477e-01  6.05576887e-01 
 2.56000000e-08  8.28185492e-01  8.28185534e-01  7.22927474e-01  6.72520477e-01  6.05576887e-01 
 4.56000000e-08  8.28185540e-01  8.28185487e-01  7.22927469e-01  6.72520477e-01  6.05576887e-01 
 6.56000000e-08  8.28185488e-01  8.28185538e-01  7.22927468e-01  6.72520477e-01  6.05576887e-01 
 8.56000000e-08  8.28185545e-01  8.28185482e-01  7.22927467e-01  6.72520477e-01  6.05576887e-01 
 1.00000000e-07  8.28185481e-01  8.28185545e-01  7.22927467e-01  6.72520477e-01  6.05576887e-01 
 1.02000000e-07  8.28190968e-01  8.28190944e-01  7.22926071e-01  6.72516641e-01  6.05580455e-01 
 1.06000000e-07  8.28192716e-01  8.28192745e-01  7.22924326e-01  6.72514713e-01  6.05581769e-01 
 1.14000000e-07  8.28191768e-01  8.28191723e-01  7.22924834e-01  6.72514870e-01  6.05581401e-01 
 1.30000000e-07  8.28114957e-01  8.28115004e-01  7.22966687e-01  6.72605165e-01  6.05503967e-01 
 1.50000000e-07  8.28041260e-01  8.28069135e-01  8.33324368e-01  8.33612913e-01  5.12408496e-01 
 1.70000000e-07  8.28166878e-01  8.28237188e-01  9.86741653e-01  9.99768833e-01  4.90721558e-01 
 1.89030497e-07  8.28166175e-01  8.28105631e-01  9.97165730e-01  1.00772052e+00  5.07129912e-01 
 2.00000000e-07  8.28184195e-01  8.28259273e-01  9.97038795e-01  1.01075568e+00  4.95713716e-01 
 2.02000000e-07  8.28191587e-01  8.28179120e-01  9.98659905e-01  1.01115336e+00  4.98295868e-01 
 2.06000000e-07  8.28166457e-01  8.28197518e-01  9.99836196e-01  1.01186160e+00  5.00349579e-01 
 2.14000000e-07  8.28204559e-01  8.28170934e-01  1.00029183e+00  1.01286612e+00  4.99824165e-01 
 2.30000000e-07  8.28160568e-01  8.28204078e-01  1.00171818e+00  1.01392717e+00  5.00126036e-01 
 2.50000000e-07  8.28209946e-01  8.28166279e-01  1.00177363e+00  1.01437303e+00  4.99903438e-01 
 2.70000000e-07  8.28156645e-01  8.28208595e-01  1.00220837e+00  1.01449012e+00  5.00074043e-01 
 2.90000000e-07  8.28215118e-01  8.28161115e-01  1.00195522e+00  1.01451719e+00  4.99943279e-01 
 3.10000000e-07  8.28151494e-01  8.28214079e-01  1.00219857e+00  1.01452127e+00  5.00043491e-01 
 3.30000000e-07  8.28221043e-01  8.28154874e-01  1.00199686e+00  1.01451927e+00  4.99966693e-01 
 3.50000000e-07  8.28145150e-01  8.28220721e-01  1.00215915e+00  1.01451450e+00  5.00025540e-01 
 3.70000000e-07  8.28228142e-01  8.28147386e-01  1.00202231e+00  1.01451120e+00  4.99980450e-01 
 3.90000000e-07  8.28137444e-01  8.28228752e-01  1.00212413e+00  1.01450514e+00  5.00014994e-01 
 4.10000000e-07  8.28236725e-01  8.28138405e-01  1.00204036e+00  1.01450249e+00  4.99988531e-01 
 4.30000000e-07  8.28128086e-01  8.28238446e-01  1.00209566e+00  1.01449573e+00  5.00008801e-01 
 4.50000000e-07  8.28247121e-01  8.28127623e-01  1.00205218e+00  1.01449384e+00  4.99993276e-01 
 4.70000000e-07  8.28116722e-01  8.28250142e-01  1.00207319e+00  1.01448642e+00  5.00005166e-01 
 4.90000000e-07  8.28259719e-01  8.28114659e-01  1.00205866e+00  1.01448531e+00  4.99996060e-01 
 5.10000000e-07  8.28102926e-01  8.28264254e-01  1.00205577e+00  1.01447722e+00  5.00003035e-01 
 5.30000000e-07  8.28274985e-01  8.28099049e-01  1.00206081e+00  1.01447692e+00  4.99997690e-01 
 5.50000000e-07  8.28086185e-01  8.28281288e-01  1.00204239e+00  1.01446809e+00  5.00001788e-01 
 5.70000000e-07  8.28293480e-01  8.28080233e-01  1.00205960e+00  1.01446869e+00  4.99998643e-01 
 5.90000000e-07  8.28065879e-01  8.28301857e-01  1.00203210e+00  1.01445902e+00  5.00001061e-01 
