 time            v(Ain)          v(SH_pos)       v(COMPout)      v(D0)           v(d1)           v(d2)           v(d3)          
 2.39001759e-05  5.16000000e-01  8.21397581e-01  1.42949522e-02  5.95069863e-07  1.79999985e+00  1.79999941e+00  1.79999967e+00 
 2.39011759e-05  5.16000000e-01  8.21397584e-01  1.42947808e-02  4.44249804e-07  1.79999963e+00  1.80000043e+00  1.79999979e+00 
 2.39021759e-05  5.16000000e-01  8.21397584e-01  1.42946159e-02  5.94715362e-07  1.79999985e+00  1.79999941e+00  1.79999967e+00 
 2.39031759e-05  5.16000000e-01  8.21397587e-01  1.42944446e-02  4.43932080e-07  1.79999963e+00  1.80000043e+00  1.79999979e+00 
 2.39041759e-05  5.16000000e-01  8.21397586e-01  1.42942798e-02  5.94361760e-07  1.79999985e+00  1.79999941e+00  1.79999967e+00 
 2.39051759e-05  5.16000000e-01  8.21397590e-01  1.42941086e-02  4.43615310e-07  1.79999963e+00  1.80000043e+00  1.79999979e+00 
 2.39061759e-05  5.16000000e-01  8.21397589e-01  1.42939439e-02  5.94009182e-07  1.79999985e+00  1.79999941e+00  1.79999967e+00 
 2.39071759e-05  5.16000000e-01  8.21397593e-01  1.42937728e-02  4.43299499e-07  1.79999963e+00  1.80000043e+00  1.79999979e+00 
 2.39081759e-05  5.16000000e-01  8.21397592e-01  1.42936082e-02  5.93657599e-07  1.79999985e+00  1.79999941e+00  1.79999967e+00 
 2.39091759e-05  5.16000000e-01  8.21397596e-01  1.42934373e-02  4.42984673e-07  1.79999963e+00  1.80000043e+00  1.79999979e+00 
 2.39101759e-05  5.16000000e-01  8.21397595e-01  1.42932728e-02  5.93306914e-07  1.79999985e+00  1.79999941e+00  1.79999967e+00 
 2.39111759e-05  5.16000000e-01  8.21397598e-01  1.42931019e-02  4.42670846e-07  1.79999963e+00  1.80000043e+00  1.79999979e+00 
 2.39121759e-05  5.16000000e-01  8.21397598e-01  1.42929375e-02  5.92957185e-07  1.79999985e+00  1.79999941e+00  1.79999967e+00 
 2.39131759e-05  5.16000000e-01  8.21397601e-01  1.42927667e-02  4.42357908e-07  1.79999963e+00  1.80000043e+00  1.79999979e+00 
 2.39141759e-05  5.16000000e-01  8.21397600e-01  1.42926024e-02  5.92608511e-07  1.79999985e+00  1.79999941e+00  1.79999967e+00 
 2.39151759e-05  5.16000000e-01  8.21397604e-01  1.42924318e-02  4.42045933e-07  1.79999963e+00  1.80000043e+00  1.79999979e+00 
 2.39161759e-05  5.16000000e-01  8.21397603e-01  1.42922676e-02  5.92260705e-07  1.79999985e+00  1.79999941e+00  1.79999967e+00 
 2.39171759e-05  5.16000000e-01  8.21397607e-01  1.42920970e-02  4.41734965e-07  1.79999963e+00  1.80000043e+00  1.79999979e+00 
 2.39181759e-05  5.16000000e-01  8.21397606e-01  1.42919329e-02  5.91913888e-07  1.79999985e+00  1.79999941e+00  1.79999967e+00 
 2.39191759e-05  5.16000000e-01  8.21397609e-01  1.42917625e-02  4.41424843e-07  1.79999963e+00  1.80000043e+00  1.79999979e+00 
 2.39201759e-05  5.16000000e-01  8.21397609e-01  1.42915985e-02  5.91568075e-07  1.79999985e+00  1.79999941e+00  1.79999967e+00 
 2.39211759e-05  5.16000000e-01  8.21397612e-01  1.42914281e-02  4.41115674e-07  1.79999963e+00  1.80000043e+00  1.79999979e+00 
 2.39221759e-05  5.16000000e-01  8.21397611e-01  1.42912642e-02  5.91223209e-07  1.79999985e+00  1.79999941e+00  1.79999967e+00 
 2.39231759e-05  5.16000000e-01  8.21397615e-01  1.42910940e-02  4.40807408e-07  1.79999963e+00  1.80000043e+00  1.79999979e+00 
 2.39241759e-05  5.16000000e-01  8.21397614e-01  1.42909302e-02  5.90879310e-07  1.79999985e+00  1.79999941e+00  1.79999967e+00 
 2.39251759e-05  5.16000000e-01  8.21397618e-01  1.42907600e-02  4.40500034e-07  1.79999963e+00  1.80000043e+00  1.79999979e+00 
 2.39261759e-05  5.16000000e-01  8.21397617e-01  1.42905964e-02  5.90536343e-07  1.79999985e+00  1.79999941e+00  1.79999967e+00 
 2.39271759e-05  5.16000000e-01  8.21397621e-01  1.42904263e-02  4.40193665e-07  1.79999963e+00  1.80000043e+00  1.79999979e+00 
 2.39281759e-05  5.16000000e-01  8.21397620e-01  1.42902627e-02  5.90194244e-07  1.79999985e+00  1.79999941e+00  1.79999967e+00 
 2.39291759e-05  5.16000000e-01  8.21397623e-01  1.42900928e-02  4.39888246e-07  1.79999963e+00  1.80000043e+00  1.79999979e+00 
 2.39301759e-05  5.16000000e-01  8.21397623e-01  1.42899293e-02  5.89853084e-07  1.79999985e+00  1.79999941e+00  1.79999967e+00 
 2.39311759e-05  5.16000000e-01  8.21397626e-01  1.42897595e-02  4.39583695e-07  1.79999963e+00  1.80000043e+00  1.79999979e+00 
 2.39321759e-05  5.16000000e-01  8.21397625e-01  1.42895961e-02  5.89512889e-07  1.79999985e+00  1.79999941e+00  1.79999967e+00 
 2.39331759e-05  5.16000000e-01  8.21397629e-01  1.42894264e-02  4.39280041e-07  1.79999963e+00  1.80000043e+00  1.79999979e+00 
 2.39341759e-05  5.16000000e-01  8.21397628e-01  1.42892631e-02  5.89173624e-07  1.79999985e+00  1.79999941e+00  1.79999967e+00 
 2.39351759e-05  5.16000000e-01  8.21397632e-01  1.42890934e-02  4.38977317e-07  1.79999963e+00  1.80000043e+00  1.79999979e+00 
 2.39361759e-05  5.16000000e-01  8.21397631e-01  1.42889303e-02  5.88835244e-07  1.79999985e+00  1.79999941e+00  1.79999967e+00 
 2.39371759e-05  5.16000000e-01  8.21397634e-01  1.42887607e-02  4.38675543e-07  1.79999963e+00  1.80000043e+00  1.79999979e+00 
 2.39381759e-05  5.16000000e-01  8.21397634e-01  1.42885976e-02  5.88497744e-07  1.79999985e+00  1.79999941e+00  1.79999967e+00 
 2.39391759e-05  5.16000000e-01  8.21397637e-01  1.42884282e-02  4.38374660e-07  1.79999963e+00  1.80000043e+00  1.79999979e+00 
 2.39401759e-05  5.16000000e-01  8.21397636e-01  1.42882652e-02  5.88161177e-07  1.79999985e+00  1.79999941e+00  1.79999967e+00 
 2.39411759e-05  5.16000000e-01  8.21397640e-01  1.42880959e-02  4.38074672e-07  1.79999963e+00  1.80000043e+00  1.79999979e+00 
 2.39421759e-05  5.16000000e-01  8.21397639e-01  1.42879330e-02  5.87825556e-07  1.79999985e+00  1.79999941e+00  1.79999967e+00 
 2.39431759e-05  5.16000000e-01  8.21397643e-01  1.42877638e-02  4.37775525e-07  1.79999963e+00  1.80000043e+00  1.79999979e+00 
 2.39441759e-05  5.16000000e-01  8.21397642e-01  1.42876010e-02  5.87490818e-07  1.79999985e+00  1.79999941e+00  1.79999967e+00 
 2.39451759e-05  5.16000000e-01  8.21397646e-01  1.42874319e-02  4.37477334e-07  1.79999963e+00  1.80000043e+00  1.79999979e+00 
 2.39461759e-05  5.16000000e-01  8.21397645e-01  1.42872692e-02  5.87156980e-07  1.79999985e+00  1.79999941e+00  1.79999967e+00 
 2.39471759e-05  5.16000000e-01  8.21397648e-01  1.42871002e-02  4.37179998e-07  1.79999963e+00  1.80000043e+00  1.79999979e+00 
 2.39481759e-05  5.16000000e-01  8.21397648e-01  1.42869376e-02  5.86824024e-07  1.79999985e+00  1.79999941e+00  1.79999967e+00 
 2.39491759e-05  5.16000000e-01  8.21397651e-01  1.42867687e-02  4.36883558e-07  1.79999963e+00  1.80000043e+00  1.79999979e+00 
 2.39501759e-05  5.16000000e-01  8.21397650e-01  1.42866062e-02  5.86492012e-07  1.79999985e+00  1.79999941e+00  1.79999967e+00 
 2.39511759e-05  5.16000000e-01  8.21397654e-01  1.42864374e-02  4.36587946e-07  1.79999963e+00  1.80000043e+00  1.79999979e+00 
 2.39521759e-05  5.16000000e-01  8.21397653e-01  1.42862751e-02  5.86160879e-07  1.79999985e+00  1.79999941e+00  1.79999967e+00 
 2.39531759e-05  5.16000000e-01  8.21397657e-01  1.42861064e-02  4.36293212e-07  1.79999963e+00  1.80000043e+00  1.79999979e+00 
 2.39541759e-05  5.16000000e-01  8.21397656e-01  1.42859441e-02  5.85830675e-07  1.79999985e+00  1.79999941e+00  1.79999967e+00 
 2.39551759e-05  5.16000000e-01  8.21397659e-01  1.42857755e-02  4.35999351e-07  1.79999963e+00  1.80000043e+00  1.79999979e+00 
 2.39561759e-05  5.16000000e-01  8.21397659e-01  1.42856133e-02  5.85501291e-07  1.79999985e+00  1.79999941e+00  1.79999967e+00 
 2.39571759e-05  5.16000000e-01  8.21397662e-01  1.42854448e-02  4.35706394e-07  1.79999963e+00  1.80000043e+00  1.79999979e+00 
 2.39581759e-05  5.16000000e-01  8.21397662e-01  1.42852827e-02  5.85172794e-07  1.79999985e+00  1.79999941e+00  1.79999967e+00 
 2.39591759e-05  5.16000000e-01  8.21397665e-01  1.42851143e-02  4.35414300e-07  1.79999963e+00  1.80000043e+00  1.79999979e+00 
 2.39601759e-05  5.16000000e-01  8.21397664e-01  1.42849523e-02  5.84845192e-07  1.79999985e+00  1.79999941e+00  1.79999967e+00 
 2.39611759e-05  5.16000000e-01  8.21397668e-01  1.42847840e-02  4.35123029e-07  1.79999963e+00  1.80000043e+00  1.79999979e+00 
 2.39621759e-05  5.16000000e-01  8.21397667e-01  1.42846221e-02  5.84518469e-07  1.79999985e+00  1.79999941e+00  1.79999967e+00 
 2.39631759e-05  5.16000000e-01  8.21397671e-01  1.42844539e-02  4.34832607e-07  1.79999963e+00  1.80000043e+00  1.79999979e+00 
 2.39641759e-05  5.16000000e-01  8.21397670e-01  1.42842921e-02  5.84192600e-07  1.79999986e+00  1.79999941e+00  1.79999967e+00 
 2.39651759e-05  5.16000000e-01  8.21397673e-01  1.42841240e-02  4.34543097e-07  1.79999963e+00  1.80000043e+00  1.79999979e+00 
 2.39661759e-05  5.16000000e-01  8.21397673e-01  1.42839623e-02  5.83867562e-07  1.79999986e+00  1.79999941e+00  1.79999967e+00 
 2.39671759e-05  5.16000000e-01  8.21397676e-01  1.42837943e-02  4.34254443e-07  1.79999963e+00  1.80000043e+00  1.79999979e+00 
